Frequency_Hz,Power_dB
12741.0888671875,-145.47989788490418
12817.3828125,-146.2995999128155
12893.6767578125,-125.43289896324104
12969.970703125,-110.64586821627478
13046.2646484375,-112.22950320812316
13122.55859375,-131.74232795761594
13198.8525390625,-146.03436942915005
13275.146484375,-146.14840375060544
13351.4404296875,-146.03456339014818
13427.734375,-145.97026610989
13504.0283203125,-145.86653496781872
13580.322265625,-145.74513658207783
13656.6162109375,-145.74881242699507
13732.91015625,-146.51904274497252
13809.2041015625,-150.75413016678357
13885.498046875,-126.52847745123857
13961.7919921875,-109.2792099399931
14038.0859375,-109.25883319702285
14114.3798828125,-126.55122545593642
14190.673828125,-149.0388036576524
14266.9677734375,-144.60254843482443
14343.26171875,-143.43501926663797
14419.5556640625,-142.79441610096498
14495.849609375,-142.1699355664845
14572.1435546875,-141.51704971423732
14648.4375,-141.03408220573823
14724.7314453125,-141.6963967378098
14801.025390625,-148.10783180270508
14877.3193359375,-120.05906198505208
14953.61328125,-100.03650008222736
15029.9072265625,-98.47205613788097
15106.201171875,-113.16891058509495
15182.4951171875,-145.01975041508734
15258.7890625,-140.14459828862542
15335.0830078125,-139.21552649113323
15411.376953125,-139.78085422111712
15487.6708984375,-140.67973442636278
15563.96484375,-141.67673584866196
15640.2587890625,-142.6360978465986
15716.552734375,-143.0863561744727
15792.8466796875,-140.8301472420482
15869.140625,-129.08271523624785
15945.4345703125,-108.1619080235998
16021.728515625,-104.73513764567302
16098.0224609375,-117.86051249081409
16174.31640625,-146.09265074811952
16250.6103515625,-139.10093987316105
16326.904296875,-138.7347992554174
16403.1982421875,-139.01083021234905
16479.4921875,-139.40719974472867
16555.7861328125,-139.81510518992292
16632.080078125,-140.18671508458038
16708.3740234375,-140.4054700497436
16784.66796875,-139.87807531379158
16860.9619140625,-134.64193673527794
16937.255859375,-112.77843270095374
17013.5498046875,-107.57673701379439
17089.84375,-118.82534367237412
17166.1376953125,-142.1932658753059
17242.431640625,-139.2456152616882
17318.7255859375,-139.03133164821344
17395.01953125,-139.14919206725497
17471.3134765625,-139.3216316049822
17547.607421875,-139.4924623789407
17623.9013671875,-139.6417637410758
17700.1953125,-139.73017001796134
17776.4892578125,-139.5614252402953
17852.783203125,-137.64851503148554
17929.0771484375,-114.73572429979217
18005.37109375,-107.73893662156176
18081.6650390625,-117.13789629635866
18157.958984375,-140.63881943818532
18234.2529296875,-139.0633734981846
18310.546875,-138.88173120594473
18386.8408203125,-138.8571556594167
18463.134765625,-138.84910145305608
18539.4287109375,-138.83119730016898
18615.72265625,-138.80222832527718
18692.0166015625,-138.7825175140835
18768.310546875,-138.88196500273813
18844.6044921875,-140.07105507989792
18920.8984375,-113.63918349406629
18997.1923828125,-104.99989740740605
19073.486328125,-112.40605923248856
19149.7802734375,-137.6688810353267
19226.07421875,-138.84707512274443
19302.3681640625,-138.85650952004144
19378.662109375,-138.68970491164626
19454.9560546875,-138.47438242369003
19531.25,-138.23865649186234
19607.5439453125,-138.00859262477383
19683.837890625,-137.87658337018908
19760.1318359375,-138.3148795146393
19836.42578125,-145.0729397276599
19912.7197265625,-111.92875231906481
19989.013671875,-101.64554117577691
20065.3076171875,-107.14141974162465
20141.6015625,-132.624279904862
20217.8955078125,-140.08203137176133
20294.189453125,-141.22383306300617
20370.4833984375,-141.02724319366456
20446.77734375,-140.58198095828777
20523.0712890625,-140.10962795292957
20599.365234375,-139.66627037747008
20675.6591796875,-139.31974444346412
20751.953125,-139.3808296103511
20828.2470703125,-142.20043222065064
20904.541015625,-119.93772662607988
20980.8349609375,-107.38075666526619
21057.12890625,-111.39106571222042
21133.4228515625,-132.09789287099537
21209.716796875,-139.35192827889293
21286.0107421875,-140.03130635308517
21362.3046875,-139.7001277419592
21438.5986328125,-139.16153886822735
21514.892578125,-138.56728722377662
21591.1865234375,-137.98396116034172
21667.48046875,-137.5730771967103
21743.7744140625,-137.99235771075868
21820.068359375,-136.14871564567468
21896.3623046875,-110.61511312742027
21972.65625,-96.82266605014792
22048.9501953125,-98.79929578789528
22125.244140625,-120.32068877063388
22201.5380859375,-136.5248505180732
22277.83203125,-133.6581846335726
22354.1259765625,-133.08641823620826
22430.419921875,-132.8563591987234
22506.7138671875,-132.6115425871752
22583.0078125,-132.3226512207134
22659.3017578125,-132.14630327009357
22735.595703125,-132.875784268149
22811.8896484375,-144.84625147578026
22888.18359375,-112.01902590668246
22964.4775390625,-95.3514398385789
23040.771484375,-95.93240401166628
23117.0654296875,-113.58839962833744
23193.359375,-137.93661868056796
23269.6533203125,-141.20134898875904
23345.947265625,-140.09717576014268
23422.2412109375,-140.22599931341927
23498.53515625,-140.3010444690998
23574.8291015625,-140.09372687478933
23651.123046875,-139.75515251845002
23727.4169921875,-139.94057734532808
23803.7109375,-143.6823152039555
23880.0048828125,-122.01242326882492
23956.298828125,-102.62844455248397
24032.5927734375,-101.65778589060706
24108.88671875,-116.81194239610357
24185.1806640625,-140.79269228519777
24261.474609375,-145.24073219558278
24337.7685546875,-145.10901627877607
24414.0625,-145.49608680873035
24490.3564453125,-145.63680555000886
24566.650390625,-145.3884666608264
24642.9443359375,-144.91624773624207
24719.23828125,-144.70511317086792
24795.5322265625,-146.40025554220418
24871.826171875,-131.03431429913758
24948.1201171875,-108.23684730297305
25024.4140625,-105.72406555215974
25100.7080078125,-118.6390328136305
25177.001953125,-142.83176047214863
25253.2958984375,-146.65293840033428
25329.58984375,-146.46574140715015
25405.8837890625,-146.26703962841594
25482.177734375,-145.91282292627824
25558.4716796875,-145.43540809726383
25634.765625,-144.96258832242626
